p_id_retained,player,team,neighbors
0,A. Pasaol,UE,"[65, 34, 43, 14, 15, 25, 27, 28]"
1,A. Melecio,DLSU,"[2, 5, 17, 18, 22, 61]"
2,R. Subido,UST,"[1, 37, 42, 49, 22, 60]"
3,D. Ildefonso,NU,"[33, 34, 5, 7, 9, 43, 62]"
4,J. Ahanmisi,ADU,"[42, 44, 78, 17, 19]"
5,Ju. Gomez de Liaño,UP,"[1, 3, 35, 7, 10, 75, 18, 22, 26, 61]"
6,B. Akhuetie,UP,"[68, 72, 80, 16, 52, 54]"
7,P. Desiderio,UP,"[33, 3, 5, 40, 9, 10, 73, 46, 79, 31]"
8,M. Lee,UST,"[69, 71, 47, 50, 51, 30]"
9,S. Manganti,ADU,"[3, 7, 46, 19, 61, 31]"
10,J. Clemente,NU,"[66, 5, 7, 40, 73, 79, 22]"
11,J. Baltazar,DLSU,"[64, 67, 74, 12, 13, 78, 57, 28]"
12,P. Sarr,ADU,"[57, 74, 11, 13]"
13,L. Santillian,DLSU,"[11, 12, 57, 28, 62]"
14,T. Ravena,ADMU,"[0, 25, 39, 15]"
15,P. Manalang,UE,"[0, 33, 39, 43, 14, 20]"
16,A. Kouame,ADMU,"[72, 68, 29, 6]"
17,A. Caracut,DLSU,"[1, 67, 4, 42, 44, 78, 19, 24, 61]"
18,H. Cani,FEU,"[1, 35, 5, 26, 61]"
19,W. Comboy,FEU,"[4, 9, 46, 17, 61]"
20,A. Tolentino,FEU,"[33, 70, 39, 42, 15, 56]"
21,C. Cansino,UST,"[34, 40, 77, 58, 27, 31]"
22,J. Varilla,UE,"[1, 2, 66, 5, 10]"
23,Z. Huang,UST,"[64, 76, 45, 53, 59]"
24,R. Verano,ADMU,"[67, 74, 44, 17, 26, 62]"
25,J. Manzo,UP,"[0, 65, 28, 14]"
26,J. Parker,FEU,"[35, 5, 43, 75, 18, 55, 24]"
27,Ja. Gomez de Liaño,UP,"[0, 65, 34, 21]"
28,R. Escoto,FEU,"[0, 65, 11, 43, 13, 25, 62]"
29,S. Ildefonso,NU,"[65, 38, 72, 48, 16]"
30,A. Asistio,ADMU,"[66, 69, 71, 8, 50, 51]"
31,F. Serrano,DLSU,"[34, 7, 9, 21, 58]"
32,T. Rike,NU,"[36, 41, 81, 55, 63]"
33,J. Lastimosa,ADU,"[3, 7, 39, 15, 20]"
34,C. Conner,UE,"[0, 3, 40, 77, 21, 27, 31]"
35,J. Espeleta,ADU,"[75, 18, 26, 5]"
36,I. Gaye,NU,"[81, 41, 32, 63]"
37,K. Zamora,UST,"[2, 70, 49, 56, 60]"
38,S. Camacho,ADU,"[72, 48, 68, 29]"
39,I. Go,ADMU,"[33, 43, 14, 15, 20, 60]"
40,M. Nieto,ADMU,"[34, 7, 10, 77, 79, 21]"
41,W. Bartolome,UE,"[32, 36, 48, 81, 63]"
42,T. Tio,ADMU,"[17, 2, 4, 20]"
43,W. Navarro,ADMU,"[0, 3, 39, 75, 15, 55, 26, 28, 62]"
44,J. Gallego,NU,"[24, 17, 67, 4]"
45,K. Montalbo,DLSU,"[59, 76, 53, 23]"
46,A. Inigo,FEU,"[9, 19, 61, 7]"
47,K. Tuffin,FEU,"[8, 50, 77, 71]"
48,G. Mahinay,UST,"[81, 29, 38, 41]"
49,J. Mendoza,ADMU,"[2, 66, 37, 73, 60]"
50,D. Yu,NU,"[69, 8, 47, 51, 30]"
51,B. Bienes,FEU,"[66, 69, 71, 8, 73, 50, 30]"
52,B. Ebona,FEU,"[80, 68, 54, 6]"
53,A. Joson,NU,"[64, 76, 45, 23, 59]"
54,P. Orizu,FEU,"[80, 52, 6, 68]"
55,S. Belangel,ADMU,"[32, 43, 26, 75]"
56,J. Pingoy,ADU,"[20, 60, 37, 70]"
57,M. Dyke,DLSU,"[74, 11, 12, 13, 58]"
58,A. Stockton,FEU,"[57, 74, 21, 31]"
59,J. Marcos,UST,"[64, 76, 45, 78, 53, 23]"
60,A. Wong,ADMU,"[2, 37, 70, 39, 49, 56]"
61,J. Manuel,DLSU,"[1, 5, 9, 46, 17, 18, 19]"
62,J. Cullar,UE,"[3, 43, 13, 24, 28]"
63,E. Caunan,UST,"[81, 41, 32, 36]"
64,C. Catapusan,ADU,"[11, 78, 53, 23, 59]"
65,A. Diputado,NU,"[0, 25, 27, 28, 29]"
66,M. Maloles,UE,"[10, 49, 51, 22, 30]"
67,L. Gonzales,FEU,"[74, 11, 44, 78, 17, 24]"
68,V. Magbuhos,ADU,"[6, 38, 72, 80, 16, 52, 54]"
69,J. Go,DLSU,"[71, 8, 50, 51, 30]"
70,J. Nieto,ADMU,"[56, 20, 37, 60]"
71,E. Mojica,ADU,"[69, 8, 47, 51, 30]"
72,D. Murrell,UP,"[68, 38, 6, 16, 29]"
73,D. Dario,UP,"[7, 10, 79, 49, 51]"
74,J. Sinclair,NU,"[67, 11, 12, 24, 57, 58]"
75,M. Aquino,NU,"[35, 5, 43, 55, 26]"
76,G. Mamuyac,ADMU,"[59, 53, 45, 23]"
77,F. Jaboneta,UP,"[40, 34, 21, 47]"
78,I. Batalier,UST,"[64, 67, 4, 11, 17, 59]"
79,C. Vito,UP,"[40, 73, 10, 7]"
80,S. Akomo,UST,"[54, 52, 6, 68]"
81,R. Acuno,UE,"[32, 36, 41, 48, 63]"
